net,length_um
_01906_,607.02
_02798_,604.08
_02418_,602.99
_04372_,602.98
net31,601.94
_08475_,601.29
_08425_,600.36
net53,599.88
_02713_,599.7
_02614_,598.725
_03080_,598.135
net76,596.23
clknet_4_6__leaf_soc.bspi.b2o.wck,595.96
_02444_,595.01
_02429_,594.01
_02650_,593.78
_01978_,592.58
_08464_,592.36
_02248_,587.73
net102,586.9
_03705_,585.45
_02974_,585.02
_03069_,583.97
net84,583.6
_04021_,583.19
_03021_,582.86
_02335_,581.14
_02985_,578.57
net127,578.42
_04268_,571.52
_08378_,569.86
_03782_,567.93
_03662_,565.73
_04019_,564.34
_08363_,564.21
_03253_,563.08
_03716_,559.535
_03476_,555.53
_04273_,553.77
_03058_,553.31
clknet_4_14__leaf_soc.bspi.b2o.wck,550.99
_03458_,549.77
_03816_,549.68
_03457_,549.23
_02845_,546.14
clknet_4_12__leaf_soc.bspi.b2o.wck,543.5
_03450_,541.74
_04152_,539.02
_03250_,538.49
_03194_,538.44
_04166_,538.34
_03663_,538.12
_03459_,537.58
_04158_,536.6
_08341_,535.85
_05441_,533.27
clknet_4_7__leaf_soc.bspi.b2o.wck,527.65
_03032_,525.03
_05279_,524.03
_03376_,522.49
_05483_,521.78
_03377_,520.94
_01917_,517.26
_03534_,513.49
_04007_,513.195
_03661_,512.86
_04363_,512.06
_03474_,509.53
_03883_,507.71
_04153_,506.5
clknet_2_0_0_soc.bspi.b2o.wck,506.46
_01953_,505.7
_04169_,504.91
_04004_,504.025
_04470_,503.48
soc.imem_doutb\[2\],502.98
_03413_,501.21
_02540_,501.17
_04156_,498.96
clknet_1_0_0_soc.bspi.b2o.wck,498.58
_04255_,497.07
clknet_4_8__leaf_soc.bspi.b2o.wck,496.95
soc.imem_doutb\[0\],496.9
_03382_,495.83
soc.imem_doutb\[3\],494.88
_04161_,494.66
_05521_,494.475
_03424_,494.37
_02724_,494.35
_03448_,491.53
_03203_,489.82
_03293_,489.43
_08325_,486.69
soc.imem_doutb\[1\],485.54
_02686_,485.23
_02155_,485.085
_03869_,484.76
_03179_,483.2
_03288_,481.71
_02809_,479.6
_04490_,479.6
_03430_,477.48
_03251_,475.54
_03422_,475.03
_03449_,474.53
_03290_,474.245
_02920_,473.75
_05362_,470.78
_03710_,470.17
_03381_,468.7
clknet_1_1_0_soc.bspi.b2o.wck,468.23
_04018_,466.29
_03808_,465.02
_03754_,464.02
_03472_,463.62
_03367_,460.96
_03383_,460.08
_03390_,458.1
_02299_,457.58
_04157_,456.5
_02761_,455.91
clknet_4_2__leaf_soc.bspi.b2o.wck,453.86
clknet_4_3__leaf_soc.bspi.b2o.wck,453.58
_04012_,453.1
_02503_,452.67
_03767_,452.18
clknet_4_9__leaf_soc.bspi.b2o.wck,451.72
_04887_,451.4
soc.imem_doutb\[7\],450.26
net287,448.54
_03692_,448.08
_03192_,447.07
_03289_,446.77
_03505_,446
_03511_,445.8
net619,445.72
_03243_,445.385
_03477_,444.525
net625,443.07
_05083_,442.71
clknet_3_7_0_soc.bspi.b2o.wck,441.06
_03219_,440.99
_05161_,437.43
_05404_,435.66
_03395_,435.4
_03489_,433.8
net288,433.22
soc.imem_doutb\[6\],433.06
soc.imem_doutb\[4\],432.4
_03358_,432.36
_04260_,431.85
_03403_,431.38
net362,431.36
_03270_,430.77
_03292_,429.36
_03783_,428.31
soc.imem_doutb\[5\],427.82
soc.imem_doutb\[8\],427.68
net285,427.28
_04267_,427.24
_04464_,426.505
_03493_,426.42
_04535_,425.24
net90,424.46
net286,424.3
_02774_,423.48
_03045_,423.34
net620,423.29
clknet_3_5_0_soc.bspi.b2o.wck,421.26
_03850_,420.6
_03169_,420.18
clknet_3_1_0_soc.bspi.b2o.wck,419.09
_03876_,419.05
clknet_3_3_0_soc.bspi.b2o.wck,418.72
_04269_,418.28
_04254_,417.91
_04006_,416.44
_03509_,416.03
_03897_,415.9
_04426_,415.4
_05580_,415.04
net283,412.64
net120,412.52
_03269_,411.26
_03755_,411.16
_04151_,411.08
_03722_,410.25
_03268_,409.64
_03833_,409.1
net281,408.3
_02466_,407.83
_03848_,405.74
_03172_,405.44
_03391_,405.4
_03863_,405.26
net153,404.41
net284,404.34
_03473_,403.64
_03810_,403.38
_03423_,401.59
clknet_3_6_0_soc.bspi.b2o.wck,401.09
net124,400.96
soc.imem_doutb\[16\],400.4
_04261_,399.62
_05036_,398.64
_03849_,398.32
_03223_,398.23
net279,398.1
soc.core.mi_ad\[10\],397.93
_05247_,397.47
net141,396.15
_03567_,395.61
_04607_,395
net170,394.62
_03569_,394.08
_03868_,393.84
_03784_,393.08
_04270_,392.38
_03237_,391.55
net282,390.28
net271,390.1
net157,390
net87,389.82
